Id,NightDuration,Weather,NewYear,Holliday,Sunday,Saturday,CovidCases,Target
4120,766,2.5,0.0,0.0,0,0,0.0,683753.0
4121,771,4.2,0.0,0.0,0,0,0.0,683893.0
4122,775,6.1,0.0,0.0,0,0,0.0,684195.0
4123,781,5.4,0.0,0.0,0,0,0.0,679220.0
4124,786,5.6,0.0,0.0,0,1,0.0,654572.0
4125,791,5.3,0.0,0.0,1,0,0.0,648158.0
4126,795,6.1,0.0,0.0,0,0,0.0,673996.0
4127,801,5.8,0.0,0.0,0,0,0.0,679299.0
4128,806,4.7,0.0,0.0,0,0,0.0,685904.0
4129,811,3.7,0.0,0.0,0,0,0.0,688689.0
4130,815,2.2,0.0,0.0,0,0,0.0,692722.0
4131,820,3.6,0.0,0.0,0,1,0.0,675993.0
4132,826,2.4,0.0,0.0,1,0,0.0,663511.0
4133,830,2.3,0.0,0.0,0,0,0.0,691736.0
4134,835,0.4,0.0,0.0,0,0,0.0,694142.0
4135,841,2.5,0.0,0.0,0,0,0.0,693963.0
4136,845,2.1,0.0,0.0,0,0,0.0,698488.0
4137,850,3.8,0.0,0.0,0,0,0.0,704083.0
4138,855,6.8,0.0,0.0,0,1,0.0,675913.0
4139,860,3.8,0.0,0.0,1,0,0.0,663629.0
4140,865,3.6,0.0,0.0,0,0,0.0,694734.0
4141,869,3.1,0.0,0.0,0,0,0.0,698406.0
4142,875,5.0,0.0,0.0,0,0,0.0,697974.0
4143,879,4.3,0.0,0.0,0,0,0.0,698265.0
4144,884,4.6,0.0,0.0,0,0,0.0,701877.0
4145,889,4.0,0.0,0.0,0,1,0.0,678122.0
4146,894,2.5,0.0,0.0,1,0,0.0,671675.0
4147,898,-0.8,0.0,0.0,0,0,0.0,704739.0
4148,903,-0.2,0.0,0.0,0,0,0.0,702872.0
4149,908,1.4,0.0,0.0,0,0,0.0,702644.0
4150,912,2.0,0.0,1.0,0,0,0.0,686221.0
4151,917,3.5,0.0,1.0,0,0,0.0,686665.0
4152,922,4.1,0.0,0.0,0,1,0.0,680754.0
4153,926,-0.2,0.0,0.0,1,0,0.0,681806.0
4154,930,0.3,0.0,0.0,0,0,0.0,713349.0
4155,935,0.8,0.0,0.0,0,0,0.0,717785.0
4156,939,2.5,0.0,0.0,0,0,0.0,711841.0
4157,944,5.1,0.0,0.0,0,0,0.0,713822.0
4158,949,4.3,0.0,0.0,0,0,0.0,716637.0
4159,953,4.9,0.0,0.0,0,1,0.0,710733.0
4160,957,6.7,0.0,0.0,1,0,0.0,684916.0
4161,962,5.7,0.0,0.0,0,0,0.0,709373.0
4162,966,4.5,0.0,0.0,0,0,0.0,709096.0
4163,969,5.9,0.0,0.0,0,0,0.0,718717.0
4164,973,-0.5,0.0,0.0,0,0,0.0,718036.0
4165,978,-2.6,0.0,0.0,0,0,0.0,723343.0
4166,982,-1.7,0.0,0.0,0,1,0.0,714677.0
4167,985,-10.3,0.0,0.0,1,0,0.0,711583.0
4168,989,-13.6,0.0,0.0,0,0,0.0,754836.0
4169,993,-9.8,0.0,0.0,0,0,0.0,763283.0
4170,996,-7.1,0.0,0.0,0,0,0.0,757357.0
4171,1000,-8.1,0.0,0.0,0,0,0.0,761734.0
4172,1003,-1.7,0.0,0.0,0,0,0.0,764277.0
4173,1007,-4.5,0.0,0.0,0,1,0.0,736255.0
4174,1010,-7.8,0.0,0.0,1,0,0.0,733720.0
4175,1013,-17.8,0.0,0.0,0,0,0.0,767776.0
4176,1016,-21.4,0.0,0.0,0,0,0.0,781003.0
4177,1019,-15.8,0.0,0.0,0,0,0.0,781141.0
4178,1023,-22.8,0.0,0.0,0,0,0.0,791703.0
4179,1026,-22.8,0.0,0.0,0,0,0.0,790845.0
4180,1028,-12.9,0.0,0.0,0,1,0.0,759210.0
4181,1030,-7.7,0.0,0.0,1,0,0.0,750850.0
4182,1033,-3.3,0.0,0.0,0,0,0.0,767737.0
4183,1035,-5.5,0.0,0.0,0,0,0.0,763967.0
4184,1038,-7.9,0.0,0.0,0,0,0.0,770692.0
4185,1039,-5.5,0.0,0.0,0,0,0.0,772054.0
4186,1042,-5.3,0.0,0.0,0,0,0.0,767357.0
4187,1043,-4.3,0.0,0.0,0,1,0.0,748232.0
4188,1044,-6.5,0.0,0.0,1,0,0.0,737517.0
4189,1046,-10.7,0.0,0.0,0,0,0.0,771403.0
4190,1047,-10.5,0.0,0.0,0,0,0.0,772748.0
4191,1049,-7.8,0.0,0.0,0,0,0.0,767055.0
4192,1050,-5.4,0.0,0.0,0,0,0.0,764314.0
4193,1050,-8.7,0.0,0.0,0,0,0.0,767729.0
4194,1051,-16.0,0.0,0.0,0,1,0.0,761675.0
4195,1052,-25.6,0.0,0.0,1,0,0.0,764778.0
4196,1052,-26.4,0.0,0.0,0,0,0.0,807539.0
4197,1052,-26.7,0.0,0.0,0,0,0.0,813972.0
4198,1052,-16.4,0.0,0.0,0,0,0.0,802957.0
4199,1052,-11.9,0.0,0.0,0,0,0.0,788383.0
4200,1052,-19.6,0.0,0.0,0,0,0.0,797254.0
4201,1052,-18.9,0.0,0.0,0,1,0.0,784460.0
4202,1051,-18.1,0.0,0.0,1,0,0.0,768172.0
4203,1050,-14.9,0.0,0.0,0,0,0.0,798601.0
4204,1050,-12.3,0.0,0.0,0,0,0.0,791683.0
4205,1049,-14.3,0.0,0.0,0,0,0.0,784493.0
4206,1047,-19.0,0.0,0.0,0,0,0.0,785842.0
4207,1046,-18.3,0.0,0.0,0,0,0.0,766495.0
4208,1044,-19.0,1.0,0.0,0,1,0.0,713187.0
4209,1043,-18.5,1.0,0.0,1,0,0.0,726648.0
4210,1041,-17.5,1.0,0.0,0,0,0.0,742179.0
4211,1039,-18.0,1.0,0.0,0,0,0.0,750514.0
4212,1037,-18.5,1.0,0.0,0,0,0.0,751945.0
4213,1034,-20.0,1.0,0.0,0,0,0.0,755898.0
4214,1033,-20.0,1.0,0.0,0,0,0.0,743093.0
4215,1030,-20.0,1.0,0.0,0,1,0.0,756302.0
4216,1027,-20.8,1.0,0.0,1,0,0.0,753163.0
4217,1025,-15.6,1.0,0.0,0,0,0.0,761249.0
4218,1022,-8.6,0.0,0.0,0,0,0.0,778338.0
4219,1019,-8.3,0.0,0.0,0,0,0.0,773437.0
4220,1016,-9.1,0.0,0.0,0,0,0.0,775793.0
4221,1013,-12.1,0.0,0.0,0,0,0.0,779855.0
4222,1009,-16.0,0.0,0.0,0,1,0.0,762470.0
4223,1006,-17.5,0.0,0.0,1,0,0.0,757828.0
4224,1003,-18.2,0.0,0.0,0,0,0.0,797837.0
4225,999,-18.9,0.0,0.0,0,0,0.0,805923.0
4226,996,-21.7,0.0,0.0,0,0,0.0,805099.0
4227,992,-22.1,0.0,0.0,0,0,0.0,813589.0
4228,989,-20.9,0.0,0.0,0,0,0.0,815235.0
4229,984,-21.0,0.0,0.0,0,1,0.0,791670.0
4230,980,-23.6,0.0,0.0,1,0,0.0,785484.0
4231,977,-22.8,0.0,0.0,0,0,0.0,812213.0
4232,973,-14.4,0.0,0.0,0,0,0.0,802744.0
4233,968,-7.8,0.0,0.0,0,0,0.0,786324.0
4234,964,-10.2,0.0,0.0,0,0,0.0,781159.0
4235,960,-12.2,0.0,0.0,0,0,0.0,783387.0
4236,955,-15.0,0.0,0.0,0,1,0.0,768372.0
4237,951,-11.2,0.0,0.0,1,0,0.0,754354.0
